id,name,position,symbol,weight,timestamp
1,Hydrogen,1,H,1.007,2021-08-04 0:17:00
2,Helium,2,He,4.002,2021-08-04 0:17:00
3,Lithium,3,Li,6.941,2021-08-04 0:17:00
4,Beryllium,4,Be,9.012,2021-08-04 0:17:00
5,Boron,5,B,10.811,2021-08-04 0:17:00
6,Carbon,6,C,12.011,2021-08-04 0:17:00
7,Nitrogen,7,N,14.007,2021-08-04 0:17:00
8,Oxygen,8,O,15.999,2021-08-04 0:17:00
9,Fluorine,9,F,18.998,2021-08-04 0:17:00
10,Neon,10,Ne,20.18,2021-08-04 0:17:00
11,Sodium,11,Na,22.99,2021-08-04 0:17:00
12,Magnesium,12,Mg,24.305,2021-08-04 0:17:00
13,Aluminum,13,Al,26.982,2021-08-04 0:17:00
14,Silicon,14,Si,28.086,2021-08-04 0:17:00
15,Phosphorus,15,P,30.974,2021-08-04 0:17:00
16,Sulfur,16,S,32.065,2021-08-04 0:17:00
17,Chlorine,17,Cl,35.453,2021-08-04 0:17:00
18,Argon,18,Ar,39.948,2021-08-04 0:17:00
19,Potassium,19,K,39.098,2021-08-04 0:17:00
20,Calcium,20,Ca,40.078,2021-08-04 0:17:00
21,Scandium,21,Sc,44.956,2021-08-04 0:17:00
22,Titanium,22,Ti,47.867,2021-08-04 0:17:00
23,Vanadium,23,V,50.942,2021-08-04 0:17:00
24,Chromium,24,Cr,51.996,2021-08-04 0:17:00
25,Manganese,25,Mn,54.938,2021-08-04 0:17:00
26,Iron,26,Fe,55.845,2021-08-04 0:17:00
27,Cobalt,27,Co,58.933,2021-08-04 0:17:00
28,Nickel,28,Ni,58.693,2021-08-04 0:17:00
29,Copper,29,Cu,63.546,2021-08-04 0:17:00
30,Zinc,30,Zn,65.38,2021-08-04 0:17:00
31,Gallium,31,Ga,69.723,2021-08-04 0:17:00
32,Germanium,32,Ge,72.64,2021-08-04 0:17:00
33,Arsenic,33,As,74.922,2021-08-04 0:17:00
34,Selenium,34,Se,78.96,2021-08-04 0:17:00
35,Bromine,35,Br,79.904,2021-08-04 0:17:00
36,Krypton,36,Kr,83.798,2021-08-04 0:17:00
